architecture,task,hidden_units,mean,std,seed0,seed1,seed2,seed3,seed4
gru,det,1,0.4927,0.2577,0.3333,0.3433,0.4533,0.3333,1.0
gru,det,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gru,det,3,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gru,det,4,0.9993,0.0013,1.0,1.0,0.9967,1.0,1.0
gru,det,5,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gru,det,6,0.9993,0.0013,1.0,1.0,0.9967,1.0,1.0
gru,det,7,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gru,det,8,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gru,loc,1,0.623,0.29,0.6067,0.8467,0.5,1.0,0.1617
gru,loc,2,0.788,0.2371,0.9983,0.9517,0.5017,0.495,0.9933
gru,loc,3,0.9967,0.0028,1.0,0.9933,0.9983,0.9933,0.9983
gru,loc,4,0.9657,0.0662,0.9983,0.9983,0.9983,0.8333,1.0
gru,loc,5,0.9997,0.0007,1.0,1.0,1.0,0.9983,1.0
gru,loc,6,0.999,0.002,1.0,1.0,0.995,1.0,1.0
gru,loc,7,0.9997,0.0007,1.0,1.0,0.9983,1.0,1.0
gru,loc,8,1.0,0.0,1.0,1.0,1.0,1.0,1.0
rnn,det,1,0.9907,0.0088,0.9933,0.9933,0.9967,0.9733,0.9967
rnn,det,2,0.8693,0.0822,0.74,0.9867,0.9167,0.8667,0.8367
rnn,det,3,0.958,0.0675,1.0,0.9833,0.9933,0.8233,0.99
rnn,det,4,0.9927,0.0095,0.9867,1.0,0.9767,1.0,1.0
rnn,det,5,0.93,0.0839,0.9567,0.7733,1.0,0.92,1.0
rnn,det,6,0.9973,0.0039,1.0,1.0,0.9967,1.0,0.99
rnn,det,7,0.998,0.0027,0.9967,1.0,1.0,1.0,0.9933
rnn,det,8,0.9947,0.0078,1.0,0.9933,1.0,1.0,0.98
rnn,loc,1,0.0097,0.0058,0.0133,0.0033,0.0033,0.0183,0.01
rnn,loc,2,0.2057,0.1343,0.1783,0.4633,0.08,0.1833,0.1233
rnn,loc,3,0.682,0.2613,0.965,0.95,0.7067,0.2867,0.5017
rnn,loc,4,0.8903,0.1545,0.9033,0.5883,0.9883,0.9917,0.98
rnn,loc,5,0.9233,0.0786,0.8167,0.8383,0.9883,0.9917,0.9817
rnn,loc,6,0.8983,0.1801,0.5383,0.9783,0.9983,0.9883,0.9883
rnn,loc,7,0.9963,0.0019,0.9933,0.9967,0.995,0.9983,0.9983
rnn,loc,8,0.8987,0.1977,1.0,0.9983,0.9967,0.995,0.5033
